time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010452050000	6.2322	19.8613	4.99895	-2.67211	0.44187	radar	2.82452	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.97008	19.7682	5.04363	-2.66456	0.425744	lidar	0.958447	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.74341	19.6225	5.07736	-2.62663	0.454117	radar	1.98475	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.56119	19.5008	5.02786	-2.59926	0.46001	lidar	1.22838	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.36004	19.3516	5.02372	-2.56635	0.473115	radar	1.72586	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.14474	19.2505	5.01498	-2.55664	0.458699	lidar	1.92975	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.95142	19.1384	4.96624	-2.54673	0.436292	radar	4.62915	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78467	18.9877	4.9251	-2.51397	0.448792	lidar	0.687862	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.57689	18.8378	4.95131	-2.48873	0.457256	radar	1.48494	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.39723	18.7061	4.922	-2.46917	0.454417	lidar	1.11771	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
